text,label,fastdetectgpt_score,binoculars_score,editlens_roberta-large_score,editlens_roberta-large_bucket,editlens_Llama-3.2-3B_score,editlens_Llama-3.2-3B_bucket,pangram_v3.2_score
"I prefer to cook at home. First of all, it is cheaper and safer than the restaurant. Because I can buy the things needed for cooking, and I can make sure that they are clean and fresh. Second, making a good dinner helps me obtain a sense of achievement. On every Spring festival, I always make dinner for my whole family, they always think that the meal is delicious and we can chat freely around the table. I am really proud of it and I think it can improve the relationship between my family and me.",0,0.44189453125,0.9644970297813416,0.020170534029603,0,0.1418242913981278,0,0.0047422221728733
"The place I would like to visit most is the outer space，the place where most of the physical laws on the earth do not apply. It is interesting to see everything floating in the air. And the term “in the air” should also be modified simply because there is no air anyway. It is interesting to walk the distance in a whole new style. And it is interesting to see the mother planet from a whole new angle. This big blue crystal sphere，from the pictures taken by those astronauts, the sight is marvelous. And I am dying to see this big blue ball in this style.",0,1.1689453125,0.9211822748184204,0.0098614925906683,0,0.0156342431825275,0,0.0037761756352015
"I imagine my life ten years in the future to be free. My life will be different in one way from now that I don’t have to be tied to a job. I can travel around the world, go anywhere, see different things, meet different people, broaden my horizon and thus feel the world. I don’t have to confine myself to just one place. I can go to France, South Africa, South America and Islands in the Pacific. In addition, I can be a freelancer, live on my royalties. I will have plenty of time to write novels and read all the masterpieces. This is what I imagine my life will be in ten years.",0,1.328125,0.9069767594337464,0.0123115136132886,0,0.0107302540175927,0,0.0047110361712319
"Personally, I would like to say that the school which is very impressive to me is Beijing University. It is one of the most famous universities in China. There are a couple of reasons to name. The first reason I wanna say is it’s beautiful, when I’m free, I can walk in the woods, smell the grass and flowers, listen to the birds singing, all of these make me feel relaxed. The second reason is there are a lot of foreigners, so I can make friends with them, we can have a get together, we discuss, we talk, we laugh, all of these make my life funny. So that’s why Beijing University is very impressive to me.",0,1.62109375,0.8812500238418579,0.0117529596900567,0,0.0536273421409229,0,0.004529595375061
"I believe that I will follow my interest. I'm not saying that studying a subject for job opportunities is wrong, it's just that I'm not that kind of person. Me myself want to be a scientist in the future, and following my own interests are rather important, because doing research can be tedious or frustrating in many situations, and my interests may be the only thing to keep me going on and on. If you are only driven by profit, it's likely that you will abandon your current subject once it seems not so profitable, and that's clearly not good for the development of science.",0,1.0859375,0.926701545715332,0.0721655789141853,0,0.0634534723746279,0,0.0048553688185555
"I definitely believe that TV programs are bringing negative influences on our society, here are some of the reasons. First, families used to get together after dinner and talk about their day, to share their joy and sorrow, to play games and have fun. But now, the only thing they do now is sitting in the couch, watching TV for entertainment. And second, working out is a much better choice than watching TV. Obesity and heart attack are now very serious problems in this country, a major cause of it is that people like to sit in front of TV all day and eat junk food.",0,1.0595703125,0.9137930870056152,0.0310583116176227,0,0.0444125168335934,0,0.0040569986615862
"Well, the object of special value to me is a little watch. the watch was designed for women and one of my French girlfriends gave it to me as a souvenir of our friendship. This little watch is of very special meaning to me because it always reminds me of those days I spent in a beautiful French town located by the beach. My watch is deep blue, as blue as the charming ocean view on the beach. You know how romantic it can ever be, just relax yourself on the beach, when the sun is setting down, when the ocean breeze is blowing and the seabirds are singing. The most important, I made friends with some gorgeous French girls. One of them gave me this little watch as a gift. I cherish the watch just as much as we cherish our friendship. ",0,1.3984375,0.9095744490623474,0.0178739574427406,0,0.0353625370189547,0,0.0045230942113058
"My experiences in an internship was rather challenging. My major job was to work with some Nigerian students. My English was poor at that time, and you know Nigerian English is a lot different from American English. In the first two weeks I can hardly understand what they are talking about let alone working with them. So I walked with them every day after work, asking about their culture, and introducing China to them. And I was grateful that they are really nice people, they helped me a lot. At the end of the summer, we've become good friends and kept contact ever since.",0,1.1259765625,0.9243243336677552,0.0310363193663458,0,0.0124992610653862,0,0.0050272813865116
"I am studying in a top university, which provides me with a platform to gain and enrich knowledge for my major. My major is business administration. In university, I have learned some related academic subjects, such as economics, management, e-commerce and so on. At the same time, I can do some internships in some business companies.All these can lay a solid foundation for my future career.What’s more, in university, I can make friends with some talented people who can give me a lot of inspiration.",0,1.3232421875,0.8938547372817993,0.0071909652324393,0,0.0455282985543211,0,0.0041502969605582
"That would be the moment when I got the result of my college entrance test. We were under huge pressure that day. Finally the phone finally rang and it turned out that I actually did a good job. when my mind was still all blank, my dad said something that brought me back to reality:” Son, I'm so proud of you.” Suddenly I realized that all my hard work had paid off, I didn't let myself and anyone who loves me down, that's the moment I knew it is a brand new start of my life, and that I'll always cherish.",0,0.061370849609375,0.9945054650306702,0.0273268030335505,0,0.0137042024871334,0,0.0044802682740347
